model_id,base_id_y,inference_type_y,confidence_y,Accept,Reason
187tino/Qwen3-4B-Instruct-2507-heretic,Qwen/Qwen3-4B-Instruct-2507,finetune,high,TRUE,
Abel252/BriskFO_Coderv1,deepseek-ai/deepseek-coder-1.3b-instruct,adapter,high,TRUE,
ABrain/NNGPT-UniqueArch-Rag,deepseek-ai/deepseek-coder-7b-instruct-v1.5,finetune,high,TRUE,
activebus/BERT_Review,google-bert/bert-base-uncased,finetune,high,TRUE,
aiqtech/GLM-4.6,zai-org/GLM-4.5,finetune,high,TRUE,
Alukard284/super-cool-model,bigcode/starcoder,finetune,high,TRUE,
ankit-ml11/automerge-codet5,Salesforce/codet5-small,finetune,high,TRUE,
ashrielbrian/jina-embeddings-v4,Qwen/Qwen2.5-VL-3B-Instruct,finetune,high,TRUE,
askalgore/Phi-3.5-mini-instruct-heretic,microsoft/Phi-3.5-mini-instruct,finetune,high,TRUE,
AventIQ-AI/Code-Generation-Multi-Model,Salesforce/codegen-350M-multi,finetune,high,TRUE,
beowolx/CodeNinja-1.0-OpenChat-7B,openchat/openchat-3.5-1210,finetune,high,TRUE,
blockblockblock/Llama3-8B-Instruct-Replete-Adapted-bpw2.25-exl2,rombodawg/rombos_Replete-Coder-Llama3-8B,adapter,high,TRUE,
budecosystem/genz-13b-v2,meta-llama/Llama-2-13b,finetune,high,TRUE,
c01zaut/codegemma-7b-it-rk3588-1.1.1,google/codegemma-7b-it,quantized,high,TRUE,
ChiKoi7/Gemma-2-Llama-Swallow-2b-it-v0.1-Heretic-GGUF,tokyotech-llm/Gemma-2-Llama-Swallow-2b-it-v0.1,finetune,high,TRUE,
chincyk/PyCodeGen,Salesforce/codegen-350M-mono,finetune,high,TRUE,
Cloudy1225/stackoverflow-roberta-base-sentiment,cardiffnlp/twitter-roberta-base-sentiment,finetune,high,TRUE,
codeparrot/codeparrot-small-complexity-prediction,codeparrot/codeparrot-small-multi,finetune,high,TRUE,
